ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR,GlobalID
Central African Republic,2020-03-16,"1","0","40655",20.48278081,6.57145342,Central African Republic,中非共和国,République centrafricaine,República Centroafricana,Центральноафриканская Республика,جمهورية أفريقيا الوسطى,9ab81fba-1d76-4d50-b705-3cd3896b35d9
Venezuela,2020-03-16,"17","0","40778",-66.16621515,7.12493711,Venezuela (Bolivarian Republic of),委内瑞拉(玻利瓦尔共和国),Venezuela (République bolivarienne du),Venezuela (República Bolivariana de),Венесуэла (Боливарианская Республика),فنزويلا,40cd7997-eb02-4deb-ad4e-413ace0f6292
Tunisia,2020-03-16,"20","0","40771",9.56156142,34.11124917,Tunisia,突尼斯,Tunisie,Túnez,Тунис,تونس,56263aee-c4d5-47d2-b2c0-41cd1e301554
Nepal,2020-03-16,"1","0","40725",83.93851707,28.25300785,Nepal,尼泊尔,Népal,Nepal,Непал,نيبال,f15feb03-f368-4e54-a370-4358966077f3
Belgium,2020-03-16,"1085","5","40643",4.66434841,50.64295176,Belgium,比利时,Belgique,Bélgica,Бельгия,بلجيكا,1bad16ee-8bcc-4cbc-bcd7-448592c2f9ce
Peru,2020-03-16,"71","0","40736",-74.37540668,-9.16377133,Peru,秘鲁,Pérou,Perú,Перу,بيرو,b43ac7d2-ad77-4d72-a278-44bd8034e9bb
Congo,2020-03-16,"1","0","40658",15.22427459,-0.84006603,Congo,刚果,Congo,Congo (el),Конго,الكونغو,92ccaa0a-31b9-44ac-9af8-44cd6a9c5d9c
Antigua and Barbuda,2020-03-16,"1","0","40634",-61.79112759,17.280137,Antigua and Barbuda,安提瓜和巴布达,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Барбуда,أنتيغوا وبربودا,edf0431a-3ee0-4c32-8965-456b9a27dbc8
Saint Vincent and the Grenadines,2020-03-16,"1","0","40751",-61.20753009,13.20205468,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,Сент-Винсент и Гренадины,سانت فنسنت وجزر غرينادين,671bfb73-89f5-4c70-aff6-46e942ae8833
Equatorial Guinea,2020-03-16,"1","0","40670",10.33849628,1.7101686,Equatorial Guinea,赤道几内亚,Guinée équatoriale,Guinea Ecuatorial,Экваториальная Гвинея,غينيا الاستوائية,d20d351a-9bd9-47dd-a2d4-4a8fa1511ea2
