ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR,GlobalID
Argentina,2020-03-16,"56","2","40635",-65.16748474,-35.37667253,Argentina,阿根廷 ,Argentine,Argentina,Аргентина,الأرجنتين,768a3f82-5507-4779-9d40-e47d857885f0
Faroe Islands,2020-03-16,"11","0","40674",-6.86363602,62.050314,Faroe Islands,Faroe Islands,,,,,95275cf0-9e86-427c-ad6c-e494224e9b37
Uruguay,2020-03-16,"4","0","40776",-56.01217362,-32.79956992,Uruguay,乌拉圭,Uruguay,Uruguay,Уругвай,أوروغواي,adf8edb6-854b-4c30-86e5-e51a8af81a70
Mexico,2020-03-16,"53","0","40720",-102.53499093,23.95092841,Mexico,墨西哥,Mexique,México,Мексика,المكسيك,31c2cf08-69f9-46bf-905a-e5c9bbe5abfd
International conveyance (Diamond Princess),2020-03-16,"712","7","40696",,,International conveyance (Diamond Princess),International conveyance (Diamond Princess),,,,,59545d0d-8b4a-46b6-8eb1-e790096695a8
Georgia,2020-03-16,"33","0","40680",43.51757115,42.17632583,Georgia,格鲁吉亚,Géorgie,Georgia,Грузия,جورجيا,1a23513a-3dcc-4b9d-9ba7-e9748c91d04d
Poland,2020-03-16,"150","3","40738",19.40092017,52.12472405,Poland,波兰,Pologne,Polonia,Польша,بولندا,4bc33db8-8b76-4f72-8abb-e98aabc9b5c6
Suriname,2020-03-16,"1","0","40764",-55.91158124,4.12671321,Suriname,苏里南,Suriname,Suriname,Суринам,سورينام,efc8ef0b-232c-4adc-b844-eae78a0ae256
Curacao,2020-03-16,"2","0","40662",-68.96749055,12.18779752,Curacao,,,,,,c7b45026-0db0-447e-a12d-eafbc050f92a
Andorra,2020-03-16,"14","0","40633",1.57568833,42.54858297,Andorra,安道尔,Andorre,Andorra,Андорра,أندورا,5a71df61-70bd-447e-a445-eb70f9fcc0df
Seychelles,2020-03-16,"4","0","40756",52.23005901,-6.39906405,Seychelles,塞舌尔,Seychelles,Seychelles,Сейшельские Острова,سيشيل,e19a41bb-9189-45c2-a93a-f1cb3330c787
Portugal,2020-03-16,"245","0","40739",-8.46736074,39.60269511,Portugal,葡萄牙,Portugal,Portugal,Португалия,البرتغال,8f394c95-4f73-4593-b87b-f38babd03751
Jamaica,2020-03-16,"10","0","40702",-77.31975081,18.15133064,Jamaica,牙买加,Jamaïque,Jamaica,Ямайка,جامايكا,0c5b5a26-d72e-4fe5-93c2-f471792c3ab9
Singapore,2020-03-16,"243","0","40757",103.80765359,1.35118038,Singapore,新加坡,Singapour,Singapur,Сингапур,سنغافورة,a70219cf-f77e-43e3-8836-f50983e5f902
Albania,2020-03-16,"51","1","40631",20.06917817,41.14595803,Albania,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا,e39eec9a-5b78-412e-9d3e-f520089504d4
Guinea,2020-03-16,"1","0","40688",-10.94182542,10.43854094,Guinea,几内亚,Guinée,Guinea,Гвинея,غينيا,80613790-e411-467b-8f37-f79007e741e5
Bahrain,2020-03-16,"221","1","40640",50.56248915,26.01947392,Bahrain,巴林,Bahreïn,Bahrein,Бахрейн,البحرين,3a61b2cd-2b52-480c-a1f4-f8bff195f2a5
French Guiana,2020-03-16,"7","0","40677",-53.24126696,3.9243882,French Guiana,French Guiana,,,,,4715b907-59c3-4ccb-990d-f90a75fc2eea
Paraguay,2020-03-16,"8","0","40735",-58.39095178,-23.23612887,Paraguay,巴拉圭,Paraguay,Paraguay,Парагвай,باراغواي,9a08d9dd-a969-4edf-aa62-f9a2092e02c9
New Zealand,2020-03-16,"6","0","40727",171.60397128,-41.83710689,New Zealand,新西兰,Nouvelle-Zélande,Nueva Zelandia,Новая Зеландия,نيوزيلندا,12afdab0-c808-4970-9f1e-fa7c93d5a196
Thailand,2020-03-16,"147","1","40767",101.01490782,15.11989876,Thailand,泰国,Thaïlande,Tailandia,Таиланд,تايلند,35b6ec28-9705-43df-a418-fb4a4bed5be5
Jersey,2020-03-16,"2","0","40704",-2.12891773,49.21949816,Jersey,,,,,,63675831-2b7c-4a3b-89e9-fd079bda5828
Romania,2020-03-16,"158","0","40745",24.96990758,45.84360558,Romania,罗马尼亚,Roumanie,Rumania,Румыния,رومانيا,263b2088-6125-4d84-850e-fd84fa03d507
Luxembourg,2020-03-16,"81","1","40713",6.08754416,49.77096396,Luxembourg,卢森堡,Luxembourg,Luxemburgo,Люксембург,لكسمبرغ,ba767ac5-7a1c-4cfb-bab6-fde13ad53f5f
